Step: 600, Elapsed: 144.92s, Loss: 1311.904907, Valid Loss: 1265.356201, y_init: -17.740482
Step: 610, Elapsed: 147.35s, Loss: 1377.035156, Valid Loss: 1253.326416, y_init: -16.176865
Step: 620, Elapsed: 149.72s, Loss: 1134.861938, Valid Loss: 1199.774902, y_init: -16.824198
Step: 630, Elapsed: 152.16s, Loss: 1357.396362, Valid Loss: 1176.162598, y_init: -15.107504
Step: 640, Elapsed: 154.54s, Loss: 1181.063843, Valid Loss: 1172.166138, y_init: -16.818878
Step: 650, Elapsed: 156.97s, Loss: 1159.953125, Valid Loss: 1156.239624, y_init: -14.951110
Step: 660, Elapsed: 159.41s, Loss: 1082.240723, Valid Loss: 1134.540527, y_init: -15.530526
Step: 670, Elapsed: 161.79s, Loss: 1212.982544, Valid Loss: 1087.208374, y_init: -13.575127
Step: 680, Elapsed: 164.22s, Loss: 1025.125977, Valid Loss: 1129.911987, y_init: -16.146584
Step: 690, Elapsed: 166.60s, Loss: 1325.144653, Valid Loss: 1444.372314, y_init: -18.365223
Step: 700, Elapsed: 169.04s, Loss: 1153.461304, Valid Loss: 1101.090576, y_init: -18.182278
Step: 710, Elapsed: 171.48s, Loss: 1059.496460, Valid Loss: 1061.991699, y_init: -12.477013
Step: 720, Elapsed: 173.86s, Loss: 1036.433838, Valid Loss: 1068.325684, y_init: -16.748600
Step: 730, Elapsed: 176.30s, Loss: 1126.017090, Valid Loss: 1087.499756, y_init: -13.114438
Step: 740, Elapsed: 178.68s, Loss: 1207.558350, Valid Loss: 1041.505249, y_init: -12.730247
Step: 750, Elapsed: 181.12s, Loss: 1049.348022, Valid Loss: 957.328369, y_init: -11.542216
Step: 760, Elapsed: 183.56s, Loss: 1108.112305, Valid Loss: 974.061768, y_init: -12.937222
Step: 770, Elapsed: 185.95s, Loss: 902.277649, Valid Loss: 982.482849, y_init: -16.734497
Step: 780, Elapsed: 188.39s, Loss: 1022.715759, Valid Loss: 960.617432, y_init: -14.408733
Step: 790, Elapsed: 190.77s, Loss: 904.084656, Valid Loss: 937.440491, y_init: -15.627681
Step: 800, Elapsed: 193.21s, Loss: 852.664917, Valid Loss: 938.301270, y_init: -12.756452
Step: 810, Elapsed: 195.60s, Loss: 1016.016235, Valid Loss: 933.967773, y_init: -12.199066
Step: 820, Elapsed: 198.04s, Loss: 934.676270, Valid Loss: 902.350281, y_init: -12.280183
Step: 830, Elapsed: 200.48s, Loss: 907.189392, Valid Loss: 918.412109, y_init: -14.005731
Step: 840, Elapsed: 202.86s, Loss: 948.205383, Valid Loss: 909.632935, y_init: -13.556055
Step: 850, Elapsed: 205.31s, Loss: 897.811890, Valid Loss: 872.845398, y_init: -14.469980
Step: 860, Elapsed: 207.68s, Loss: 890.780396, Valid Loss: 824.291992, y_init: -13.878633
Step: 870, Elapsed: 210.13s, Loss: 725.550537, Valid Loss: 788.890625, y_init: -11.910237
Step: 880, Elapsed: 212.57s, Loss: 814.891846, Valid Loss: 784.836548, y_init: -13.271527
Step: 890, Elapsed: 214.94s, Loss: 894.443726, Valid Loss: 747.188843, y_init: -12.936055
Step: 900, Elapsed: 217.38s, Loss: 950.243530, Valid Loss: 740.959412, y_init: -12.301732
Step: 910, Elapsed: 219.76s, Loss: 779.346558, Valid Loss: 723.517395, y_init: -13.045204
